Subject,ROI,MNI_Y,Size,Mean_Tval,DICE,Faces (DSC w/o),Limbs (DSC w/o),Parcel_Comp,Parcel_Dist
sub-01,Rnd1Tmax2day2VB,-80.22254943847656,169,7.3694444119552776,0.679,45 (0.555),33 (0.576),88 (G_and_S_occipital_inf),13.45302845479368
sub-01,Rnd2Tmax1day1VA,-89.72359466552734,182,11.374305739812552,0.626,115 (0.543),90 (0.527),178 (G_and_S_occipital_inf),26.535631470679615
sub-01,Rnd3Tmax1day2VB,-71.49151611328125,125,5.081564716865122,0.6252519467043592,39 (0.488),51 (0.453),125 (G_oc-temp_lat-fusifor),15.19777610293068
sub-01,Rnd4Tmax1day2VA,-59.687740325927734,180,2.987353575100812,0.5889185997402924,0 (0.589),0 (0.589),143 (S_oc-temp_lat),4.158961062498233
sub-01,Rnd5Tmax1day3PF,-55.181678771972656,103,2.3613106981272476,0.3737177874107699,2 (0.378),0 (0.374),103 (G_oc-temp_lat-fusifor),5.451151248634702
sub-01,Rnd6Tmax2day3PF,-45.448909759521484,60,1.5735726844519378,0.3283006462933976,0 (0.328),0 (0.328),35 (G_oc-temp_lat-fusifor),24.403858327279956
sub-02,Rnd1Tmax2day1VA,-30.870325088500977,123,8.809862666134912,0.8666666666666667,65 (0.808),8 (0.864),96 (G_oc-temp_lat-fusifor),17.300916637020954
sub-02,Rnd2Tmax2day2VA,-22.64213752746582,129,11.532958542191706,0.86,32 (0.874),0 (0.860),88 (G_oc-temp_lat-fusifor),12.024221211027175
sub-02,Rnd3Tmax1day2VA,-25.140832901000977,126,8.557553810732704,0.8433333333333333,71 (0.843),20 (0.852),118 (G_oc-temp_lat-fusifor),10.49278591626889
sub-02,Rnd4Tmax1day1VA,-40.12785720825195,155,9.633742383927588,0.6967336683417086,93 (0.474),88 (0.569),138 (G_and_S_occipital_inf),14.786979293340316
sub-02,Rnd5Tmax2day2VA,-40.49485778808594,141,8.59897970984168,0.7850000000000001,6 (0.797),33 (0.843),78 (G_and_S_occipital_inf),30.075097356704255
sub-02,Rnd6Tmax2day1VB,-11.888402938842773,182,4.5182496643469126,0.6383333333333333,0 (0.638),0 (0.638),176 (G_oc-temp_lat-fusifor),14.28616270891793
sub-03,Rnd1Tmax1day2VA,-57.192623138427734,142,11.860056538565058,0.7792525252525253,71 (0.707),58 (0.793),141 (G_and_S_occipital_inf),18.350881831700384
sub-03,Rnd2Tmax2day2VB,-10.943055152893066,147,6.325091100793307,0.773,0 (0.773),0 (0.773),112 (S_oc-temp_lat),13.335116519298486
sub-03,Rnd3Tmax2day2VA,-27.062957763671875,166,7.423444989139596,0.6869999999999999,127 (0.264),11 (0.702),75 (S_oc-temp_lat),13.423175920514346
sub-03,Rnd4Tmax2day2VB,-33.2811279296875,146,7.647191274737659,0.778875,4 (0.780),26 (0.821),54 (G_oc-temp_lat-fusifor),30.14582658788499
sub-03,Rnd5Tmax1day1VA,-41.071266174316406,161,7.202306161854439,0.6594252873563219,36 (0.596),57 (0.634),150 (G_and_S_occipital_inf),21.46396247682908
sub-03,Rnd6Tmax2day2VA,-31.460304260253906,116,6.451323080448241,0.7311188536625826,0 (0.731),0 (0.731),50 (S_occipital_ant),16.30984227414598
sub-03,Rnd7Tmax1day1VA,-13.242738723754883,161,3.3915477346902225,0.40441782584620317,0 (0.404),0 (0.404),101 (S_oc-temp_lat),9.516872506768046
sub-03,Rnd8Tmax2day3PF,-38.52481460571289,129,6.39466526101726,0.44183867823280953,0 (0.442),53 (0.522),101 (G_oc-temp_lat-fusifor),27.012969875626695
sub-03,Rnd9Tmax1day3PF,-23.378406524658203,117,3.0357369653800994,0.25940518730198564,17 (0.247),9 (0.253),64 (G_oc-temp_lat-fusifor),20.218191135321064
sub-04,Rnd1Tmax2day1VB,-46.53822326660156,140,14.17823165242161,0.8160000000000001,2 (0.819),3 (0.820),107 (G_oc-temp_lat-fusifor),25.72255791515206
sub-04,Rnd2Tmax2day2VB,-35.44126510620117,160,6.413477499671281,0.7253735581188996,0 (0.725),0 (0.725),102 (S_oc-temp_lat),7.348984903655903
sub-04,Rnd3Tmax1day1VA,-65.63655853271484,141,12.778164450433238,0.7045714285714286,102 (0.475),74 (0.559),141 (G_and_S_occipital_inf),21.612158956700206
sub-04,Rnd4Tmax1day2VA,-40.484317779541016,168,11.241158051575933,0.6759999999999999,85 (0.671),4 (0.683),129 (G_oc-temp_lat-fusifor),13.841799044810148
sub-04,Rnd5Tmax2day2VA,-13.798755645751953,182,2.5575671332064442,0.4159504765773243,0 (0.416),0 (0.416),84 (S_collat_transv_ant),26.333869866716498
sub-04,Rnd6Tmax2day1VA,-53.4023551940918,203,9.942760602469221,0.5166115107913669,28 (0.548),108 (0.668),186 (G_and_S_occipital_inf),6.234913123949673
sub-05,Rnd1Tmax2day1VB,-43.58332061767578,176,10.897013460721386,0.6633333333333333,37 (0.667),80 (0.591),92 (G_and_S_occipital_inf),27.392405097683188
sub-05,Rnd2Tmax2day1VB,-31.381290435791016,175,7.576855015706043,0.6790476190476189,0 (0.679),0 (0.679),133 (S_temporal_inf),60.1384731581921
sub-05,Rnd3Tmax2day1VB,-11.33486557006836,167,6.483676247712992,0.689047619047619,20 (0.681),0 (0.689),80 (S_oc-temp_lat),18.65310947312394
sub-05,Rnd4Tmax2day3PF,-33.51777267456055,221,5.519473066213935,0.5829290149169087,0 (0.583),15 (0.598),103 (S_oc-temp_lat),7.196488937339465
sub-05,Rnd5Tmax2day1VB,-50.767784118652344,196,7.964113807709584,0.5780952380952381,101 (0.468),21 (0.595),161 (G_and_S_occipital_inf),14.187156579475772
sub-05,Rnd6Tmax1day1VA,-54.00377655029297,136,5.353489386569318,0.4116946820113252,24 (0.439),36 (0.449),132 (G_and_S_occipital_inf),4.153057468640744
sub-05,Rnd7Tmax2day3PF,-39.42311477661133,160,7.681602442815035,0.3973218144333354,16 (0.409),45 (0.428),134 (S_oc-temp_lat),16.41456354258768
sub-05,Rnd8Tmax2day1VB,-16.056352615356445,123,3.208971294896238,0.36853294821438065,0 (0.369),0 (0.369),62 (S_oc-temp_lat),14.647332438734557
sub-05,Rnd9Tmax2day5BCBL,-52.46670913696289,128,5.90556659765051,0.2918515194281762,7 (0.199),28 (0.185),116 (G_and_S_occipital_inf),2.714411986557207
sub-05,Rnd10Tmax1day6BCBL,-21.919776916503906,236,2.548213511146013,0.21136905451402382,3 (0.212),27 (0.225),161 (S_oc-temp_lat),8.706993378770186
sub-05,Rnd11Tmax2day1VA,-34.13660430908203,180,4.570412103182429,0.3483394418240931,91 (0.293),28 (0.248),99 (G_oc-temp_lat-fusifor),15.00671589502258
